age,income,loan_amount,loan_tenure_months,employment_years,num_credit_lines,existing_debts,missed_payments,credit_score,debt_to_income_ratio,loan_to_income_ratio,payment_history_score,education,employment_type,creditworthy
59,107108.3,6236.68,48,0.1,6,15697.72,2,731,0.1466,0.0582,84,Bachelor,Salaried,1
49,45671.15,5901.74,24,1.6,7,5861.94,1,724,0.1283,0.1292,92,High School,Salaried,1
35,47224.61,24402.0,60,8.2,3,11394.42,2,629,0.2413,0.5167,84,PhD,Business,1
63,15000.0,12557.62,12,4.8,4,8647.16,2,549,0.5764,0.8371,84,Bachelor,Salaried,0
28,67566.27,12609.91,36,7.0,8,6086.42,2,627,0.0901,0.1866,84,Bachelor,Unemployed,1
41,63255.53,10561.6,60,3.0,4,12203.8,0,656,0.1929,0.167,100,Bachelor,Salaried,1
59,42614.14,2208.14,24,1.9,7,3999.82,2,561,0.0939,0.0518,84,High School,Business,1
39,53199.28,17405.58,48,3.3,6,8162.48,4,625,0.1534,0.3272,68,Master,Salaried,1
43,26153.14,15275.6,12,2.0,7,9286.78,2,747,0.3551,0.5841,84,High School,Salaried,1
31,81365.79,13349.53,36,9.1,1,9105.45,3,662,0.1119,0.1641,76,Bachelor,Self-Employed,1
31,44226.61,11069.42,60,1.8,3,4122.97,0,607,0.0932,0.2503,100,Bachelor,Salaried,1
44,123069.08,9661.44,60,5.4,6,18298.03,1,652,0.1487,0.0785,92,High School,Business,1
56,51136.77,19299.87,12,0.7,3,14311.23,1,657,0.2799,0.3774,92,High School,Salaried,1
60,38288.39,10869.66,48,5.8,7,12952.06,0,620,0.3383,0.2839,100,Bachelor,Self-Employed,1
44,45929.11,11487.51,24,12.2,9,15166.06,0,712,0.3302,0.2501,100,Bachelor,Salaried,1
23,23936.86,16239.15,48,4.7,3,8343.81,2,504,0.3486,0.6784,84,High School,Self-Employed,0
42,65609.98,13663.69,48,4.1,1,6143.55,1,688,0.0936,0.2083,92,High School,Self-Employed,1
22,45762.21,25138.21,48,16.2,6,2554.82,0,604,0.0558,0.5493,100,Master,Business,1
44,79887.56,1000.0,12,4.9,1,4482.84,2,734,0.0561,0.0125,84,Master,Salaried,1
64,48955.56,14399.26,12,1.5,1,2929.88,2,548,0.0598,0.2941,84,Master,Unemployed,1
50,85457.73,6355.15,24,1.7,8,5359.47,0,725,0.0627,0.0744,100,Bachelor,Unemployed,1
58,71664.03,4463.31,48,6.1,9,9382.38,1,587,0.1309,0.0623,92,Bachelor,Business,1
22,55629.13,8343.49,12,6.6,2,12570.12,0,676,0.226,0.15,100,High School,Self-Employed,1
41,89765.12,12437.44,24,1.8,9,12431.77,2,613,0.1385,0.1386,84,High School,Salaried,1
53,75950.46,12792.55,24,2.1,5,2142.46,0,740,0.0282,0.1684,100,Master,Salaried,1
32,119816.68,1000.0,48,23.6,8,11445.65,2,635,0.0955,0.0083,84,Master,Unemployed,1
42,45991.98,7671.33,36,0.5,7,13719.29,1,592,0.2983,0.1668,92,Master,Unemployed,1
64,56685.55,14249.77,48,2.6,7,6728.82,2,762,0.1187,0.2514,84,Bachelor,Salaried,1
45,89511.6,4984.56,36,0.3,4,13988.75,3,628,0.1563,0.0557,76,Master,Salaried,1
69,21042.17,3081.73,24,8.6,2,12379.0,0,692,0.5883,0.1464,100,PhD,Business,1
47,83972.76,1000.0,12,0.5,5,1677.05,1,725,0.02,0.0119,92,Bachelor,Salaried,1
62,64664.66,6694.45,60,5.6,3,18958.68,0,580,0.2932,0.1035,100,High School,Salaried,1
48,35459.36,2802.97,24,0.3,9,4421.76,2,684,0.1247,0.079,84,Bachelor,Unemployed,1
36,25013.13,4128.54,12,5.6,6,12787.1,1,695,0.5112,0.165,92,High School,Business,1
35,40205.23,9825.44,24,9.3,1,12606.11,2,526,0.3135,0.2444,84,Master,Business,1
67,15000.0,7201.37,48,2.5,3,1879.94,0,676,0.1253,0.4801,100,Bachelor,Salaried,1
64,44230.13,2670.1,36,3.7,4,8894.9,1,622,0.2011,0.0604,92,Bachelor,Salaried,1
23,68696.24,1000.0,24,2.6,9,12544.58,0,780,0.1826,0.0146,100,Bachelor,Self-Employed,1
57,44521.39,14418.49,12,1.8,6,1826.93,1,719,0.041,0.3238,92,Bachelor,Salaried,1
27,85542.88,18022.62,48,8.1,4,8498.08,1,685,0.0993,0.2107,92,High School,Salaried,1
41,91518.85,8826.04,60,1.6,1,12963.37,1,487,0.1416,0.0964,92,PhD,Business,1
29,83064.18,9873.79,48,6.4,8,13286.2,0,686,0.1599,0.1189,100,High School,Business,1
59,60074.1,12022.48,36,1.2,2,6014.63,1,589,0.1001,0.2001,92,Master,Salaried,1
38,15000.0,24630.27,48,1.4,8,15721.85,2,720,1.0481,1.6419,84,Master,Salaried,0
24,39518.66,1000.0,60,2.1,6,14527.61,0,637,0.3676,0.0253,100,High School,Salaried,1
45,51875.15,8684.08,12,4.4,8,9206.14,0,608,0.1775,0.1674,100,PhD,Salaried,1
34,35334.91,1000.0,24,3.0,6,4705.24,2,615,0.1332,0.0283,84,Bachelor,Salaried,1
29,51930.88,14898.55,36,6.8,5,2170.74,0,620,0.0418,0.2869,100,Bachelor,Salaried,1
46,90421.48,10848.33,60,1.2,5,9887.73,1,542,0.1094,0.12,92,Bachelor,Salaried,1
22,18792.92,13623.94,36,0.1,8,15322.56,0,553,0.8153,0.7249,100,Bachelor,Business,0
40,94857.23,13224.98,48,7.5,7,7264.24,1,623,0.0766,0.1394,92,High School,Salaried,1
48,74463.98,19925.67,36,8.6,8,3704.59,1,774,0.0497,0.2676,92,Master,Self-Employed,1
67,60900.77,16305.06,60,0.3,8,12124.62,1,707,0.1991,0.2677,92,Bachelor,Self-Employed,1
27,39300.44,18644.06,24,4.7,7,8872.56,0,714,0.2258,0.4744,100,High School,Self-Employed,1
64,35773.09,3475.72,24,2.4,2,10579.52,1,746,0.2957,0.0972,92,Master,Unemployed,1
28,19223.21,21545.37,36,7.9,9,5373.61,2,672,0.2795,1.1207,84,Master,Self-Employed,1
67,92768.84,6221.1,12,10.4,7,6150.74,0,613,0.0663,0.0671,100,Bachelor,Business,1
55,88827.45,6681.04,36,9.5,6,5350.02,2,617,0.0602,0.0752,84,High School,Salaried,1
34,24061.74,14166.74,48,7.5,9,10495.85,3,584,0.4362,0.5887,76,Bachelor,Self-Employed,0
37,42842.18,14415.35,24,1.6,1,6303.02,0,715,0.1471,0.3365,100,High School,Salaried,1
56,64529.18,3425.15,24,8.4,2,10962.12,2,575,0.1699,0.0531,84,Bachelor,Unemployed,1
60,48410.8,10613.77,24,3.8,1,4893.14,2,817,0.1011,0.2192,84,Master,Salaried,1
24,15000.0,23905.88,12,0.3,3,10487.51,2,578,0.6991,1.5936,84,High School,Salaried,0
22,40529.0,1000.0,12,3.1,5,11518.91,2,748,0.2842,0.0247,84,High School,Self-Employed,1
26,97922.75,23881.75,60,14.3,1,9657.71,6,748,0.0986,0.2439,52,Master,Salaried,1
62,42020.47,10066.41,36,10.9,4,12585.22,2,700,0.2995,0.2396,84,High School,Self-Employed,1
24,51403.72,1000.0,36,0.5,8,5592.72,1,780,0.1088,0.0195,92,High School,Unemployed,1
49,29806.1,1066.15,48,6.8,6,11463.21,1,634,0.3846,0.0358,92,Bachelor,Unemployed,1
38,67930.79,4292.18,24,8.2,1,9166.73,1,660,0.1349,0.0632,92,Master,Salaried,1
46,57533.34,7008.57,12,1.6,1,3951.33,2,668,0.0687,0.1218,84,Master,Salaried,1
64,38675.57,11162.29,48,3.2,3,0.0,1,697,0.0,0.2886,92,Master,Self-Employed,1
54,26297.58,1000.0,48,6.2,8,0.0,4,504,0.0,0.038,68,Bachelor,Self-Employed,1
30,85899.95,13494.44,12,2.9,8,0.0,0,642,0.0,0.1571,100,Master,Self-Employed,1
56,19678.05,3559.28,36,0.6,3,10130.65,0,719,0.5148,0.1809,100,High School,Self-Employed,1
34,66083.95,23124.18,24,6.1,7,6376.15,1,620,0.0965,0.3499,92,Bachelor,Self-Employed,1
51,15000.0,9838.59,36,12.1,3,8436.06,0,807,0.5624,0.6559,100,Bachelor,Salaried,1
68,70558.66,19542.77,48,5.3,4,7097.99,1,660,0.1006,0.277,92,High School,Business,1
35,76346.58,20882.79,24,7.4,9,10908.35,4,691,0.1429,0.2735,68,Bachelor,Salaried,1
28,79085.24,20666.19,60,2.2,4,11054.56,1,774,0.1398,0.2613,92,Bachelor,Salaried,1
34,51453.41,7468.75,48,1.0,3,8214.5,0,660,0.1596,0.1452,100,Bachelor,Business,1
43,89848.08,7366.4,36,5.1,5,8517.1,0,773,0.0948,0.082,100,Bachelor,Salaried,1
60,105771.42,10200.21,36,2.0,7,8716.82,3,697,0.0824,0.0964,76,Master,Self-Employed,1
41,47924.29,17089.9,36,9.8,5,14958.91,2,697,0.3121,0.3566,84,Master,Salaried,1
